,INSTNM,CONTROL,PREDDEG,MENONLY,WOMENONLY,DEBT_MDN,GRAD_DEBT_MDN,RPY_3YR_RT,RPY_5YR_RT,RPY_7YR_RT,C150_L4,LATITUDE,LONGITUDE,NPT4_PRIV,HSI,C150_L4_POOLED,Cluster
1317,Mount Mercy University,2,3,0.0,0.0,19500.0,24199.0,0.901426719,0.941666667,0.921487603,,42.0019,-91.651,20540.0,0.0,,2
1318,Ashford University,3,3,0.0,0.0,11190.0,32813.0,0.430481918,0.478765432,0.69081404,,41.8519,-90.1991,20983.0,0.0,,1
1319,North Iowa Area Community College,1,2,0.0,0.0,7035.5,10000.0,0.647984887,0.692424242,0.736932305,0.3835,43.1576,-93.1317,,0.0,0.409577326,3
1320,University of Northern Iowa,1,3,0.0,0.0,18500.0,22148.0,0.91106383,0.912057394,0.935038571,,42.5149,-92.4597,,0.0,,2
1321,Northwestern College,2,3,0.0,0.0,20500.0,25250.0,0.949685535,0.958477509,0.961664841,,42.999,-96.0584,19499.0,0.0,,2
1322,Northeast Iowa Community College-Calmar,1,2,0.0,0.0,8829.0,12714.0,0.657634409,0.733266733,0.758220503,0.2894,43.175,-91.8656,,0.0,0.29448598,3
1323,Northwest Iowa Community College,1,2,0.0,0.0,7000.0,9500.0,0.781305115,0.857142857,0.894324853,0.5147,43.1846,-95.8788,,0.0,0.538203636,2
1324,Des Moines University-Osteopathic Medical Center,2,4,0.0,0.0,,,,,,,41.5833,-93.6617,,0.0,,0
1325,Iowa School of Beauty-Ottumwa,3,1,0.0,0.0,12500.0,14960.0,0.439393939,0.461538462,0.629032258,0.5641,41.0231,-92.418,10266.0,0.0,0.534861628,0
1326,Palmer College of Chiropractic-Davenport,2,3,0.0,0.0,10492.0,10875.0,0.654205607,0.658227848,0.85042735,,41.529,-90.5746,21199.0,0.0,,0
1327,PCI Academy-Ames,3,1,0.0,0.0,7562.0,10920.5,0.785185185,0.835443038,0.865217391,0.7414,41.9977,-93.6136,13061.0,0.0,0.708333333,0
1328,Saint Ambrose University,2,3,0.0,0.0,20500.0,26900.0,0.878835563,0.904166667,0.920907419,,41.5401,-90.581,22920.0,0.0,,2
1329,St Luke's College,2,2,0.0,0.0,13000.0,14319.0,0.892857143,0.909774436,,,42.5178,-96.4049,21626.0,0.0,,2
1330,La James International College-Davenport,3,1,0.0,0.0,11568.0,14000.0,0.574074074,0.642105263,0.77173913,0.541,41.574,-90.5726,15814.0,0.0,0.609754472,0
1331,La James International College-Iowa City,3,1,0.0,0.0,9500.0,12000.0,0.696551724,0.775362319,0.75,0.6981,41.6638,-91.5322,14431.0,0.0,0.700490821,0
1332,Simpson College,2,3,0.0,0.0,22500.0,27000.0,0.926182238,0.933106576,0.945510361,,41.3655,-93.5635,20163.0,0.0,,2
1333,Southeastern Community College,1,2,0.0,0.0,6700.0,11450.0,0.571336761,0.597859327,0.678912564,0.2514,40.8147,-91.1724,,0.0,0.264856657,3
1334,Southwestern Community College,1,2,0.0,0.0,7442.0,12000.0,0.617346939,0.707575758,0.684593023,0.4188,41.0734,-94.3809,,0.0,0.42479699,3
1335,Capri College-Davenport,3,1,0.0,0.0,7721.0,8855.0,0.665178571,0.696629213,0.664974619,0.7333,41.5748,-90.5392,12488.0,0.0,0.704540909,0
1336,Iowa School of Beauty-Sioux City,3,1,0.0,0.0,10699.0,11677.0,0.641509434,0.545454545,0.676056338,0.7667,42.4436,-96.37,8313.0,0.0,0.777804762,0
1337,E Q School of Hair Design,3,1,0.0,0.0,6755.0,7727.0,0.607594937,0.43877551,0.571428571,0.5789,41.2611,-95.8511,8114.0,0.0,0.574036111,0
1338,Upper Iowa University,2,3,0.0,0.0,15882.5,22500.0,0.779899135,0.782338308,0.852104208,,42.8403,-91.7997,17602.0,0.0,,2
